,Area,fips,Value
1,"Abilene, TX (Metropolitan Statistical Area)",48059,109.8901099
2,"Abilene, TX (Metropolitan Statistical Area)",48253,109.8901099
3,"Abilene, TX (Metropolitan Statistical Area)",48441,109.8901099
4,"Akron, OH (Metropolitan Statistical Area)",39133,111.4827202
5,"Akron, OH (Metropolitan Statistical Area)",39153,111.4827202
6,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",36001,100.3009027
7,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",36083,100.3009027
8,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",36091,100.3009027
9,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",36093,100.3009027
10,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",36095,100.3009027
11,"Albany, GA (Metropolitan Statistical Area)",13007,119.3317422
12,"Albany, GA (Metropolitan Statistical Area)",13095,119.3317422
13,"Albany, GA (Metropolitan Statistical Area)",13177,119.3317422
14,"Albany, GA (Metropolitan Statistical Area)",13273,119.3317422
15,"Albany, GA (Metropolitan Statistical Area)",13321,119.3317422
16,"Albany, OR (Metropolitan Statistical Area)",41043,106.8376068
17,"Albuquerque, NM (Metropolitan Statistical Area)",35001,102.6694045
18,"Albuquerque, NM (Metropolitan Statistical Area)",35043,102.6694045
19,"Albuquerque, NM (Metropolitan Statistical Area)",35057,102.6694045
20,"Albuquerque, NM (Metropolitan Statistical Area)",35061,102.6694045
21,"Alexandria, LA (Metropolitan Statistical Area)",22043,113.2502831
22,"Alexandria, LA (Metropolitan Statistical Area)",22079,113.2502831
23,"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",34041,99.60159363
24,"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",42025,99.60159363
25,"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",42077,99.60159363
26,"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",42095,99.60159363
27,"Altoona, PA (Metropolitan Statistical Area)",42013,111.7318436
28,"Amarillo, TX (Metropolitan Statistical Area)",48011,107.5268817
29,"Amarillo, TX (Metropolitan Statistical Area)",48065,107.5268817
30,"Amarillo, TX (Metropolitan Statistical Area)",48359,107.5268817
31,"Amarillo, TX (Metropolitan Statistical Area)",48375,107.5268817
32,"Amarillo, TX (Metropolitan Statistical Area)",48381,107.5268817
33,"Ames, IA (Metropolitan Statistical Area)",19169,109.5290252
34,"Anchorage, AK (Metropolitan Statistical Area)",2020,91.40767824
35,"Anchorage, AK (Metropolitan Statistical Area)",2170,91.40767824
36,"Ann Arbor, MI (Metropolitan Statistical Area)",26161,98.13542689
37,"Anniston-Oxford-Jacksonville, AL (Metropolitan Statistical Area)",1015,118.9060642
38,"Appleton, WI (Metropolitan Statistical Area)",55015,108.2251082
39,"Appleton, WI (Metropolitan Statistical Area)",55087,108.2251082
40,"Asheville, NC (Metropolitan Statistical Area)",37021,107.5268817
41,"Asheville, NC (Metropolitan Statistical Area)",37087,107.5268817
42,"Asheville, NC (Metropolitan Statistical Area)",37089,107.5268817
43,"Asheville, NC (Metropolitan Statistical Area)",37115,107.5268817
44,"Athens-Clarke County, GA (Metropolitan Statistical Area)",13059,109.1703057
45,"Athens-Clarke County, GA (Metropolitan Statistical Area)",13195,109.1703057
46,"Athens-Clarke County, GA (Metropolitan Statistical Area)",13219,109.1703057
47,"Athens-Clarke County, GA (Metropolitan Statistical Area)",13221,109.1703057
48,"Atlanta-Sandy Springs-Roswell, GA (Metropolitan Statistical Area)",13013,104.0582726
49,"Atlanta-Sandy Springs-Roswell, GA (Metropolitan Statistical Area)",13015,104.0582726
50,"Atlanta-Sandy Springs-Roswell, GA (Metropolitan Statistical Area)",13035,104.0582726
51,"Atlanta-Sandy Springs-Roswell, GA (Metropolitan Statistical Area)",13045,104.0582726
52,"Atlanta-Sandy Springs-Roswell, GA (Metropolitan Statistical Area)",13057,104.0582726
53,"Atlanta-Sandy Springs-Roswell, GA (Metropolitan Statistical Area)",13063,104.0582726
54,"Atlanta-Sandy Springs-Roswell, GA (Metropolitan Statistical Area)",13067,104.0582726
55,"Atlanta-Sandy Springs-Roswell, GA (Metropolitan Statistical Area)",13077,104.0582726
56,"Atlanta-Sandy Springs-Roswell, GA (Metropolitan Statistical Area)",13085,104.0582726
57,"Atlanta-Sandy Springs-Roswell, GA (Metropolitan Statistical Area)",13089,104.0582726
58,"Atlanta-Sandy Springs-Roswell, GA (Metropolitan Statistical Area)",13097,104.0582726
59,"Atlanta-Sandy Springs-Roswell, GA (Metropolitan Statistical Area)",13113,104.0582726
60,"Atlanta-Sandy Springs-Roswell, GA (Metropolitan Statistical Area)",13117,104.0582726
61,"Atlanta-Sandy Springs-Roswell, GA (Metropolitan Statistical Area)",13121,104.0582726
62,"Atlanta-Sandy Springs-Roswell, GA (Metropolitan Statistical Area)",13135,104.0582726
63,"Atlanta-Sandy Springs-Roswell, GA (Metropolitan Statistical Area)",13143,104.0582726
64,"Atlanta-Sandy Springs-Roswell, GA (Metropolitan Statistical Area)",13149,104.0582726
65,"Atlanta-Sandy Springs-Roswell, GA (Metropolitan Statistical Area)",13151,104.0582726
66,"Atlanta-Sandy Springs-Roswell, GA (Metropolitan Statistical Area)",13159,104.0582726
67,"Atlanta-Sandy Springs-Roswell, GA (Metropolitan Statistical Area)",13171,104.0582726
68,"Atlanta-Sandy Springs-Roswell, GA (Metropolitan Statistical Area)",13199,104.0582726
69,"Atlanta-Sandy Springs-Roswell, GA (Metropolitan Statistical Area)",13211,104.0582726
70,"Atlanta-Sandy Springs-Roswell, GA (Metropolitan Statistical Area)",13217,104.0582726
71,"Atlanta-Sandy Springs-Roswell, GA (Metropolitan Statistical Area)",13223,104.0582726
72,"Atlanta-Sandy Springs-Roswell, GA (Metropolitan Statistical Area)",13227,104.0582726
73,"Atlanta-Sandy Springs-Roswell, GA (Metropolitan Statistical Area)",13231,104.0582726
74,"Atlanta-Sandy Springs-Roswell, GA (Metropolitan Statistical Area)",13247,104.0582726
75,"Atlanta-Sandy Springs-Roswell, GA (Metropolitan Statistical Area)",13255,104.0582726
76,"Atlanta-Sandy Springs-Roswell, GA (Metropolitan Statistical Area)",13297,104.0582726
77,"Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)",34001,95.14747859
78,"Auburn-Opelika, AL (Metropolitan Statistical Area)",1081,118.0637544
79,"Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)",13033,112.7395716
80,"Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)",13073,112.7395716
81,"Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)",13181,112.7395716
82,"Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)",13189,112.7395716
83,"Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)",13245,112.7395716
84,"Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)",45003,112.7395716
85,"Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)",45037,112.7395716
86,"Austin-Round Rock, TX (Metropolitan Statistical Area)",48021,100.5025126
87,"Austin-Round Rock, TX (Metropolitan Statistical Area)",48055,100.5025126
88,"Austin-Round Rock, TX (Metropolitan Statistical Area)",48209,100.5025126
89,"Austin-Round Rock, TX (Metropolitan Statistical Area)",48453,100.5025126
90,"Austin-Round Rock, TX (Metropolitan Statistical Area)",48491,100.5025126
91,"Bakersfield, CA (Metropolitan Statistical Area)",6029,102.145046
92,"Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)",24003,93.02325581
93,"Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)",24005,93.02325581
94,"Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)",24013,93.02325581
95,"Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)",24025,93.02325581
96,"Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)",24027,93.02325581
97,"Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)",24035,93.02325581
98,"Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)",24510,93.02325581
99,"Bangor, ME (Metropolitan Statistical Area)",23019,104.2752868
100,"Barnstable Town, MA (Metropolitan Statistical Area)",25001,97.56097561
101,"Baton Rouge, LA (Metropolitan Statistical Area)",22005,107.6426265
102,"Baton Rouge, LA (Metropolitan Statistical Area)",22033,107.6426265
103,"Baton Rouge, LA (Metropolitan Statistical Area)",22037,107.6426265
104,"Baton Rouge, LA (Metropolitan Statistical Area)",22047,107.6426265
105,"Baton Rouge, LA (Metropolitan Statistical Area)",22063,107.6426265
106,"Baton Rouge, LA (Metropolitan Statistical Area)",22077,107.6426265
107,"Baton Rouge, LA (Metropolitan Statistical Area)",22091,107.6426265
108,"Baton Rouge, LA (Metropolitan Statistical Area)",22121,107.6426265
109,"Baton Rouge, LA (Metropolitan Statistical Area)",22125,107.6426265
110,"Battle Creek, MI (Metropolitan Statistical Area)",26025,109.7694841
111,"Bay City, MI (Metropolitan Statistical Area)",26017,112.8668172
112,"Beaumont-Port Arthur, TX (Metropolitan Statistical Area)",48199,110.864745
113,"Beaumont-Port Arthur, TX (Metropolitan Statistical Area)",48245,110.864745
114,"Beaumont-Port Arthur, TX (Metropolitan Statistical Area)",48351,110.864745
115,"Beaumont-Port Arthur, TX (Metropolitan Statistical Area)",48361,110.864745
116,"Beckley, WV (Metropolitan Statistical Area)",54019,125.4705144
117,"Beckley, WV (Metropolitan Statistical Area)",54081,125.4705144
118,"Bellingham, WA (Metropolitan Statistical Area)",53073,99.60159363
119,"Bend-Redmond, OR (Metropolitan Statistical Area)",41017,103.1991744
120,"Billings, MT (Metropolitan Statistical Area)",30009,101.2145749
121,"Billings, MT (Metropolitan Statistical Area)",30037,101.2145749
122,"Billings, MT (Metropolitan Statistical Area)",30111,101.2145749
123,"Binghamton, NY (Metropolitan Statistical Area)",36007,105.1524711
124,"Binghamton, NY (Metropolitan Statistical Area)",36107,105.1524711
125,"Birmingham-Hoover, AL (Metropolitan Statistical Area)",1007,112.1076233
126,"Birmingham-Hoover, AL (Metropolitan Statistical Area)",1009,112.1076233
127,"Birmingham-Hoover, AL (Metropolitan Statistical Area)",1021,112.1076233
128,"Birmingham-Hoover, AL (Metropolitan Statistical Area)",1073,112.1076233
129,"Birmingham-Hoover, AL (Metropolitan Statistical Area)",1115,112.1076233
130,"Birmingham-Hoover, AL (Metropolitan Statistical Area)",1117,112.1076233
131,"Birmingham-Hoover, AL (Metropolitan Statistical Area)",1127,112.1076233
132,"Bismarck, ND (Metropolitan Statistical Area)",38015,106.1571125
133,"Bismarck, ND (Metropolitan Statistical Area)",38059,106.1571125
134,"Bismarck, ND (Metropolitan Statistical Area)",38065,106.1571125
135,"Bismarck, ND (Metropolitan Statistical Area)",38085,106.1571125
136,"Blacksburg-Christiansburg-Radford, VA (Metropolitan Statistical Area)",51063,111.8568233
137,"Blacksburg-Christiansburg-Radford, VA (Metropolitan Statistical Area)",51071,111.8568233
138,"Blacksburg-Christiansburg-Radford, VA (Metropolitan Statistical Area)",51121,111.8568233
139,"Blacksburg-Christiansburg-Radford, VA (Metropolitan Statistical Area)",51155,111.8568233
140,"Blacksburg-Christiansburg-Radford, VA (Metropolitan Statistical Area)",51750,111.8568233
141,"Bloomington, IL (Metropolitan Statistical Area)",17039,106.2699256
142,"Bloomington, IL (Metropolitan Statistical Area)",17113,106.2699256
143,"Bloomington, IN (Metropolitan Statistical Area)",18105,105.7082452
144,"Bloomington, IN (Metropolitan Statistical Area)",18119,105.7082452
145,"Bloomsburg-Berwick, PA (Metropolitan Statistical Area)",42037,106.7235859
146,"Bloomsburg-Berwick, PA (Metropolitan Statistical Area)",42093,106.7235859
147,"Boise City, ID (Metropolitan Statistical Area)",16001,105.0420168
148,"Boise City, ID (Metropolitan Statistical Area)",16015,105.0420168
149,"Boise City, ID (Metropolitan Statistical Area)",16027,105.0420168
150,"Boise City, ID (Metropolitan Statistical Area)",16045,105.0420168
151,"Boise City, ID (Metropolitan Statistical Area)",16073,105.0420168
152,"Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)",25021,90.66183137
153,"Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)",25023,90.66183137
154,"Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)",25025,90.66183137
155,"Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)",25009,90.66183137
156,"Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)",25017,90.66183137
157,"Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)",33015,90.66183137
158,"Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)",33017,90.66183137
159,"Boulder, CO (Metropolitan Statistical Area)",8013,90.82652134
160,"Bowling Green, KY (Metropolitan Statistical Area)",21003,116.6861144
161,"Bowling Green, KY (Metropolitan Statistical Area)",21031,116.6861144
162,"Bowling Green, KY (Metropolitan Statistical Area)",21061,116.6861144
163,"Bowling Green, KY (Metropolitan Statistical Area)",21227,116.6861144
164,"Bremerton-Silverdale, WA (Metropolitan Statistical Area)",53035,94.33962264
165,"Bridgeport-Stamford-Norwalk, CT (Metropolitan Statistical Area)",9001,83.26394671
166,"Brownsville-Harlingen, TX (Metropolitan Statistical Area)",48061,119.047619
167,"Brunswick, GA (Metropolitan Statistical Area)",13025,115.4734411
168,"Brunswick, GA (Metropolitan Statistical Area)",13127,115.4734411
169,"Brunswick, GA (Metropolitan Statistical Area)",13191,115.4734411
170,"Buffalo-Cheektowaga-Niagara Falls, NY (Metropolitan Statistical Area)",36029,106.4962726
171,"Buffalo-Cheektowaga-Niagara Falls, NY (Metropolitan Statistical Area)",36063,106.4962726
172,"Burlington-South Burlington, VT (Metropolitan Statistical Area)",50007,96.89922481
173,"Burlington-South Burlington, VT (Metropolitan Statistical Area)",50011,96.89922481
174,"Burlington-South Burlington, VT (Metropolitan Statistical Area)",50013,96.89922481
175,"Burlington, NC (Metropolitan Statistical Area)",37001,111.1111111
176,"California-Lexington Park, MD (Metropolitan Statistical Area)",24037,101.3171226
177,"Canton-Massillon, OH (Metropolitan Statistical Area)",39019,112.3595506
178,"Canton-Massillon, OH (Metropolitan Statistical Area)",39151,112.3595506
179,"Cape Coral-Fort Myers, FL (Metropolitan Statistical Area)",12071,104.8218029
180,"Cape Girardeau, MO-IL (Metropolitan Statistical Area)",17003,120.9189843
181,"Cape Girardeau, MO-IL (Metropolitan Statistical Area)",29017,120.9189843
182,"Cape Girardeau, MO-IL (Metropolitan Statistical Area)",29031,120.9189843
183,"Carbondale-Marion, IL (Metropolitan Statistical Area)",17077,119.1895113
184,"Carbondale-Marion, IL (Metropolitan Statistical Area)",17199,119.1895113
185,"Carson City, NV (Metropolitan Statistical Area)",32510,104.9317943
186,"Casper, WY (Metropolitan Statistical Area)",56025,101.9367992
187,"Cedar Rapids, IA (Metropolitan Statistical Area)",19011,111.3585746
188,"Cedar Rapids, IA (Metropolitan Statistical Area)",19105,111.3585746
189,"Cedar Rapids, IA (Metropolitan Statistical Area)",19113,111.3585746
190,"Chambersburg-Waynesboro, PA (Metropolitan Statistical Area)",42055,106.8376068
191,"Champaign-Urbana, IL (Metropolitan Statistical Area)",17019,106.4962726
192,"Champaign-Urbana, IL (Metropolitan Statistical Area)",17053,106.4962726
193,"Champaign-Urbana, IL (Metropolitan Statistical Area)",17147,106.4962726
194,"Charleston-North Charleston, SC (Metropolitan Statistical Area)",45015,104.0582726
195,"Charleston-North Charleston, SC (Metropolitan Statistical Area)",45019,104.0582726
196,"Charleston-North Charleston, SC (Metropolitan Statistical Area)",45035,104.0582726
197,"Charleston, WV (Metropolitan Statistical Area)",54005,114.2857143
198,"Charleston, WV (Metropolitan Statistical Area)",54015,114.2857143
199,"Charleston, WV (Metropolitan Statistical Area)",54039,114.2857143
200,"Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)",37025,106.9518717
201,"Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)",37071,106.9518717
202,"Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)",37097,106.9518717
203,"Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)",37109,106.9518717
204,"Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)",37119,106.9518717
205,"Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)",37159,106.9518717
206,"Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)",37179,106.9518717
207,"Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)",45023,106.9518717
208,"Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)",45057,106.9518717
209,"Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)",45091,106.9518717
210,"Charlottesville, VA (Metropolitan Statistical Area)",51003,101.9367992
211,"Charlottesville, VA (Metropolitan Statistical Area)",51029,101.9367992
212,"Charlottesville, VA (Metropolitan Statistical Area)",51065,101.9367992
213,"Charlottesville, VA (Metropolitan Statistical Area)",51079,101.9367992
214,"Charlottesville, VA (Metropolitan Statistical Area)",51125,101.9367992
215,"Charlottesville, VA (Metropolitan Statistical Area)",51540,101.9367992
216,"Chattanooga, TN-GA (Metropolitan Statistical Area)",13047,111.2347052
217,"Chattanooga, TN-GA (Metropolitan Statistical Area)",13083,111.2347052
218,"Chattanooga, TN-GA (Metropolitan Statistical Area)",13295,111.2347052
219,"Chattanooga, TN-GA (Metropolitan Statistical Area)",47065,111.2347052
220,"Chattanooga, TN-GA (Metropolitan Statistical Area)",47115,111.2347052
221,"Chattanooga, TN-GA (Metropolitan Statistical Area)",47153,111.2347052
222,"Cheyenne, WY (Metropolitan Statistical Area)",56021,101.9367992
223,"Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)",17031,95.60229446
224,"Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)",17043,95.60229446
225,"Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)",17063,95.60229446
226,"Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)",17093,95.60229446
227,"Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)",17111,95.60229446
228,"Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)",17197,95.60229446
229,"Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)",17037,95.60229446
230,"Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)",17089,95.60229446
231,"Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)",18073,95.60229446
232,"Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)",18089,95.60229446
233,"Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)",18111,95.60229446
234,"Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)",18127,95.60229446
235,"Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)",17097,95.60229446
236,"Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)",55059,95.60229446
237,"Chico, CA (Metropolitan Statistical Area)",6007,100.3009027
238,"Cincinnati, OH-KY-IN (Metropolitan Statistical Area)",18029,112.1076233
239,"Cincinnati, OH-KY-IN (Metropolitan Statistical Area)",18115,112.1076233
240,"Cincinnati, OH-KY-IN (Metropolitan Statistical Area)",18161,112.1076233
241,"Cincinnati, OH-KY-IN (Metropolitan Statistical Area)",21015,112.1076233
242,"Cincinnati, OH-KY-IN (Metropolitan Statistical Area)",21023,112.1076233
243,"Cincinnati, OH-KY-IN (Metropolitan Statistical Area)",21037,112.1076233
244,"Cincinnati, OH-KY-IN (Metropolitan Statistical Area)",21077,112.1076233
245,"Cincinnati, OH-KY-IN (Metropolitan Statistical Area)",21081,112.1076233
246,"Cincinnati, OH-KY-IN (Metropolitan Statistical Area)",21117,112.1076233
