FIPS,name,AVGhmid
6053,"Monterey County, CA",2371
6055,"Napa County, CA",3575
6057,"Nevada County, CA",3112
6059,"Orange County, CA",3698
6061,"Placer County, CA",4157
6063,"Plumas County, CA",1943
6065,"Riverside County, CA",2743
6067,"Sacramento County, CA",2465
6069,"San Benito County, CA",3447
6071,"San Bernardino Cou, CA",2350
6073,"San Diego County, CA",3184
6075,"San Francisco Coun, CA",2744
6077,"San Joaquin County, CA",2323
6079,"San Luis Obispo Co, CA",3198
6081,"San Mateo County, CA",4594
6083,"Santa Barbara Coun, CA",2797
6085,"Santa Clara County, CA",4111
6087,"Santa Cruz County, CA",3466
6089,"Shasta County, CA",1951
6091,"Sierra County, CA",1640
6093,"Siskiyou County, CA",1308
6095,"Solano County, CA",3139
6097,"Sonoma County, CA",3314
6099,"Stanislaus County, CA",1940
6101,"Sutter County, CA",1855
6103,"Tehama County, CA",1457
6105,"Trinity County, CA",1410
6107,"Tulare County, CA",1451
6109,"Tuolumne County, CA",2202
6111,"Ventura County, CA",3764
6113,"Yolo County, CA",2695
6115,"Yuba County, CA",1797
8001,"Adams County, CO",2118
8003,"Alamosa County, CO",880
8005,"Arapahoe County, CO",2634
8007,"Archuleta County, CO",1969
8009,"Baca County, CO",213
8011,"Bent County, CO",206
8013,"Boulder County, CO",3109
8014,"Broomfield County, CO",3414
8015,"Chaffee County, CO",1868
8017,"Cheyenne County, CO",326
8019,"Clear Creek County, CO",3192
8021,"Conejos County, CO",630
8023,"Costilla County, CO",493
8025,"Crowley County, CO",385
8027,"Custer County, CO",2209
8029,"Delta County, CO",1344
8031,"Denver County, CO",2268
8033,"Dolores County, CO",721
8035,"Douglas County, CO",5154
8037,"Eagle County, CO",3388
8039,"Elbert County, CO",4715
8041,"El Paso County, CO",2227
8043,"Fremont County, CO",1232
8045,"Garfield County, CO",2762
8047,"Gilpin County, CO",2752
8049,"Grand County, CO",2444
8051,"Gunnison County, CO",2159
8053,"Hinsdale County, CO",2519
8055,"Huerfano County, CO",1051
8057,"Jackson County, CO",702
8059,"Jefferson County, CO",2983
8061,"Kiowa County, CO",159
8063,"Kit Carson County, CO",534
8065,"Lake County, CO",1208
8067,"La Plata County, CO",2529
8069,"Larimer County, CO",2456
8071,"Las Animas County, CO",1106
8073,"Lincoln County, CO",696
8075,"Logan County, CO",748
8077,"Mesa County, CO",2078
8079,"Mineral County, CO",1219
8081,"Moffat County, CO",1522
8083,"Montezuma County, CO",1240
8085,"Montrose County, CO",1485
8087,"Morgan County, CO",950
8089,"Otero County, CO",442
8091,"Ouray County, CO",2943
8093,"Park County, CO",3029
8095,"Phillips County, CO",656
8097,"Pitkin County, CO",3207
8099,"Prowers County, CO",423
8101,"Pueblo County, CO",1241
8103,"Rio Blanco County, CO",1653
8105,"Rio Grande County, CO",770
8107,"Routt County, CO",3089
8109,"Saguache County, CO",759
8111,"San Juan County, CO",1033
8113,"San Miguel County, CO",3024
8115,"Sedgwick County, CO",224
8117,"Summit County, CO",3087
8119,"Teller County, CO",2643
8121,"Washington County, CO",478
8123,"Weld County, CO",2349
8125,"Yuma County, CO",554
9001,"Fairfield County, CT",3875
9003,"Hartford County, CT",2195
9005,"Litchfield County, CT",2575
9007,"Middlesex County, CT",2815
9009,"New Haven County, CT",2194
9011,"New London County, CT",2127
9013,"Tolland County, CT",2566
9015,"Windham County, CT",1937
10001,"Kent County, DE",1922
10003,"New Castle County, DE",2553
10005,"Sussex County, DE",2006
11001,"District of Columb, DC",2857
12001,"Alachua County, FL",1168
12003,"Baker County, FL",982
12005,"Bay County, FL",1106
12007,"Bradford County, FL",724
12009,"Brevard County, FL",1317
