GEO_ID,NAME,VALUE
2122,"Kenai Peninsula Borough, Alaska",1655
2130,"Ketchikan Gateway Borough, Alaska",2272
2150,"Kodiak Island Borough, Alaska",3289
2158,"Kusilvak Census Area, Alaska",200-
2164,"Lake and Peninsula Borough, Alaska",-
2170,"Matanuska-Susitna Borough, Alaska",2904
2180,"Nome Census Area, Alaska",1911
2185,"North Slope Borough, Alaska",1772
2188,"Northwest Arctic Borough, Alaska",-
2195,"Petersburg Borough, Alaska",1719
2198,"Prince of Wales-Hyder Census Area, Alaska",200-
2220,"Sitka City and Borough, Alaska",1890
2230,"Skagway Municipality, Alaska",1485
2240,"Southeast Fairbanks Census Area, Alaska",-
2261,"Valdez-Cordova Census Area, Alaska",2442
2275,"Wrangell City and Borough, Alaska",1311
2282,"Yakutat City and Borough, Alaska",1183
2290,"Yukon-Koyukuk Census Area, Alaska",642
4001,"Apache County, Arizona",465
4003,"Cochise County, Arizona",1211
4005,"Coconino County, Arizona",1624
4007,"Gila County, Arizona",1280
4009,"Graham County, Arizona",936
4011,"Greenlee County, Arizona",356
4012,"La Paz County, Arizona",698
4013,"Maricopa County, Arizona",1580
4015,"Mohave County, Arizona",975
4017,"Navajo County, Arizona",917
4019,"Pima County, Arizona",1826
4021,"Pinal County, Arizona",1330
4023,"Santa Cruz County, Arizona",1146
4025,"Yavapai County, Arizona",1404
4027,"Yuma County, Arizona",1126
5001,"Arkansas County, Arkansas",547
5003,"Ashley County, Arkansas",484
5005,"Baxter County, Arkansas",700
5007,"Benton County, Arkansas",1352
5009,"Boone County, Arkansas",807
5011,"Bradley County, Arkansas",548
5013,"Calhoun County, Arkansas",413
5015,"Carroll County, Arkansas",983
5017,"Chicot County, Arkansas",451
5019,"Clark County, Arkansas",666
5021,"Clay County, Arkansas",463
5023,"Cleburne County, Arkansas",711
5025,"Cleveland County, Arkansas",530
5027,"Columbia County, Arkansas",464
5029,"Conway County, Arkansas",587
5031,"Craighead County, Arkansas",852
5033,"Crawford County, Arkansas",698
5035,"Crittenden County, Arkansas",701
5037,"Cross County, Arkansas",550
5039,"Dallas County, Arkansas",380
5041,"Desha County, Arkansas",470
5043,"Drew County, Arkansas",545
5045,"Faulkner County, Arkansas",1019
5047,"Franklin County, Arkansas",566
5049,"Fulton County, Arkansas",430
5051,"Garland County, Arkansas",787
5053,"Grant County, Arkansas",594
5055,"Greene County, Arkansas",694
5057,"Hempstead County, Arkansas",399
5059,"Hot Spring County, Arkansas",556
5061,"Howard County, Arkansas",529
5063,"Independence County, Arkansas",639
5065,"Izard County, Arkansas",544
5067,"Jackson County, Arkansas",374
5069,"Jefferson County, Arkansas",547
5071,"Johnson County, Arkansas",595
5073,"Lafayette County, Arkansas",381
5075,"Lawrence County, Arkansas",410
5077,"Lee County, Arkansas",377
5079,"Lincoln County, Arkansas",470
5081,"Little River County, Arkansas",379
5083,"Logan County, Arkansas",534
5085,"Lonoke County, Arkansas",950
5087,"Madison County, Arkansas",536
5089,"Marion County, Arkansas",655
5091,"Miller County, Arkansas",731
5093,"Mississippi County, Arkansas",462
5095,"Monroe County, Arkansas",372
5097,"Montgomery County, Arkansas",479
5099,"Nevada County, Arkansas",375
