id,name,data
Geography,Geographic Area Name,Estimate!!Median real estate taxes paid --!!Total:
1001,"Autauga County, Alabama",480
1003,"Baldwin County, Alabama",663
1005,"Barbour County, Alabama",327
1007,"Bibb County, Alabama",244
1009,"Blount County, Alabama",419
1011,"Bullock County, Alabama",408
1013,"Butler County, Alabama",297
1015,"Calhoun County, Alabama",520
1017,"Chambers County, Alabama",400
1019,"Cherokee County, Alabama",530
1021,"Chilton County, Alabama",380
1023,"Choctaw County, Alabama",200-
1025,"Clarke County, Alabama",311
1027,"Clay County, Alabama",279
1029,"Cleburne County, Alabama",393
1031,"Coffee County, Alabama",559
1033,"Colbert County, Alabama",480
1035,"Conecuh County, Alabama",286
1037,"Coosa County, Alabama",245
1039,"Covington County, Alabama",287
1041,"Crenshaw County, Alabama",284
1043,"Cullman County, Alabama",355
1045,"Dale County, Alabama",384
1047,"Dallas County, Alabama",339
1049,"DeKalb County, Alabama",382
1051,"Elmore County, Alabama",500
1053,"Escambia County, Alabama",390
1055,"Etowah County, Alabama",521
1057,"Fayette County, Alabama",291
1059,"Franklin County, Alabama",355
1061,"Geneva County, Alabama",343
1063,"Greene County, Alabama",328
1065,"Hale County, Alabama",345
1067,"Henry County, Alabama",438
1069,"Houston County, Alabama",476
1071,"Jackson County, Alabama",357
1073,"Jefferson County, Alabama",1058
1075,"Lamar County, Alabama",247
1077,"Lauderdale County, Alabama",608
1079,"Lawrence County, Alabama",399
1081,"Lee County, Alabama",909
1083,"Limestone County, Alabama",585
1085,"Lowndes County, Alabama",311
1087,"Macon County, Alabama",395
1089,"Madison County, Alabama",873
1091,"Marengo County, Alabama",362
1093,"Marion County, Alabama",250
1095,"Marshall County, Alabama",554
1097,"Mobile County, Alabama",763
1099,"Monroe County, Alabama",308
1101,"Montgomery County, Alabama",509
1103,"Morgan County, Alabama",553
1105,"Perry County, Alabama",254
1107,"Pickens County, Alabama",332
1109,"Pike County, Alabama",396
1111,"Randolph County, Alabama",375
1113,"Russell County, Alabama",557
1115,"St. Clair County, Alabama",518
1117,"Shelby County, Alabama",1096
1119,"Sumter County, Alabama",253
1121,"Talladega County, Alabama",435
1123,"Tallapoosa County, Alabama",356
1125,"Tuscaloosa County, Alabama",664
1127,"Walker County, Alabama",294
1129,"Washington County, Alabama",270
1131,"Wilcox County, Alabama",278
1133,"Winston County, Alabama",275
2013,"Aleutians East Borough, Alaska",-
2016,"Aleutians West Census Area, Alaska",2810
2020,"Anchorage Municipality, Alaska",4266
2050,"Bethel Census Area, Alaska",-
2060,"Bristol Bay Borough, Alaska",2145
2063,"Chugach Census Area, Alaska",2398
2066,"Copper River Census Area, Alaska",-
2068,"Denali Borough, Alaska",354
2070,"Dillingham Census Area, Alaska",2189
2090,"Fairbanks North Star Borough, Alaska",2955
2100,"Haines Borough, Alaska",2256
2105,"Hoonah-Angoon Census Area, Alaska",1531
2110,"Juneau City and Borough, Alaska",3492
2122,"Kenai Peninsula Borough, Alaska",1708
2130,"Ketchikan Gateway Borough, Alaska",2428
2150,"Kodiak Island Borough, Alaska",3132
2158,"Kusilvak Census Area, Alaska",200-
2164,"Lake and Peninsula Borough, Alaska",-
2170,"Matanuska-Susitna Borough, Alaska",3023
2180,"Nome Census Area, Alaska",1968
2185,"North Slope Borough, Alaska",1805
2188,"Northwest Arctic Borough, Alaska",200-
2195,"Petersburg Borough, Alaska",1833
2198,"Prince of Wales-Hyder Census Area, Alaska",771
2220,"Sitka City and Borough, Alaska",1927
2230,"Skagway Municipality, Alaska",1387
2240,"Southeast Fairbanks Census Area, Alaska",-
2275,"Wrangell City and Borough, Alaska",1291
2282,"Yakutat City and Borough, Alaska",1300
2290,"Yukon-Koyukuk Census Area, Alaska",829
4001,"Apache County, Arizona",477
4003,"Cochise County, Arizona",1225
4005,"Coconino County, Arizona",1692
4007,"Gila County, Arizona",1259
4009,"Graham County, Arizona",934
4011,"Greenlee County, Arizona",361
4012,"La Paz County, Arizona",679
4013,"Maricopa County, Arizona",1646
4015,"Mohave County, Arizona",1024
4017,"Navajo County, Arizona",931
4019,"Pima County, Arizona",1897
4021,"Pinal County, Arizona",1358
4023,"Santa Cruz County, Arizona",1160
4025,"Yavapai County, Arizona",1462
4027,"Yuma County, Arizona",1151
5001,"Arkansas County, Arkansas",577
5003,"Ashley County, Arkansas",475
5005,"Baxter County, Arkansas",686
5007,"Benton County, Arkansas",1384
5009,"Boone County, Arkansas",814
5011,"Bradley County, Arkansas",561
5013,"Calhoun County, Arkansas",386
5015,"Carroll County, Arkansas",934
5017,"Chicot County, Arkansas",463
5019,"Clark County, Arkansas",732
5021,"Clay County, Arkansas",430
5023,"Cleburne County, Arkansas",695
5025,"Cleveland County, Arkansas",542
5027,"Columbia County, Arkansas",526
5029,"Conway County, Arkansas",591
5031,"Craighead County, Arkansas",871
5033,"Crawford County, Arkansas",756
5035,"Crittenden County, Arkansas",755
5037,"Cross County, Arkansas",509
5039,"Dallas County, Arkansas",440
5041,"Desha County, Arkansas",412
5043,"Drew County, Arkansas",555
5045,"Faulkner County, Arkansas",1064
5047,"Franklin County, Arkansas",530
5049,"Fulton County, Arkansas",420
5051,"Garland County, Arkansas",792
5053,"Grant County, Arkansas",585
5055,"Greene County, Arkansas",696
5057,"Hempstead County, Arkansas",396
5059,"Hot Spring County, Arkansas",541
5061,"Howard County, Arkansas",520
5063,"Independence County, Arkansas",629
5065,"Izard County, Arkansas",548
5067,"Jackson County, Arkansas",386
5069,"Jefferson County, Arkansas",552
5071,"Johnson County, Arkansas",623
5073,"Lafayette County, Arkansas",389
5075,"Lawrence County, Arkansas",385
5077,"Lee County, Arkansas",394
5079,"Lincoln County, Arkansas",546
5081,"Little River County, Arkansas",377
5083,"Logan County, Arkansas",554
5085,"Lonoke County, Arkansas",998
5087,"Madison County, Arkansas",507
5089,"Marion County, Arkansas",762
5091,"Miller County, Arkansas",812
5093,"Mississippi County, Arkansas",571
5095,"Monroe County, Arkansas",385
5097,"Montgomery County, Arkansas",551
5099,"Nevada County, Arkansas",465
5101,"Newton County, Arkansas",539
5103,"Ouachita County, Arkansas",477
5105,"Perry County, Arkansas",563
5107,"Phillips County, Arkansas",480
5109,"Pike County, Arkansas",500
5111,"Poinsett County, Arkansas",457
5113,"Polk County, Arkansas",472
5115,"Pope County, Arkansas",806
5117,"Prairie County, Arkansas",443
5119,"Pulaski County, Arkansas",1347
5121,"Randolph County, Arkansas",384
5123,"St. Francis County, Arkansas",397
5125,"Saline County, Arkansas",1160
5127,"Scott County, Arkansas",389
5129,"Searcy County, Arkansas",449
5131,"Sebastian County, Arkansas",890
5133,"Sevier County, Arkansas",503
5135,"Sharp County, Arkansas",385
5137,"Stone County, Arkansas",457
5139,"Union County, Arkansas",590
5141,"Van Buren County, Arkansas",496
5143,"Washington County, Arkansas",1225
5145,"White County, Arkansas",648
5147,"Woodruff County, Arkansas",571
5149,"Yell County, Arkansas",706
6001,"Alameda County, California",6369
6003,"Alpine County, California",3074
6005,"Amador County, California",2306
6007,"Butte County, California",2203
6009,"Calaveras County, California",2635
6011,"Colusa County, California",1899
6013,"Contra Costa County, California",5679
6015,"Del Norte County, California",1499
6017,"El Dorado County, California",3580
6019,"Fresno County, California",2209
6021,"Glenn County, California",1800
6023,"Humboldt County, California",2278
6025,"Imperial County, California",1820
6027,"Inyo County, California",1978
6029,"Kern County, California",2295
6031,"Kings County, California",1804
6033,"Lake County, California",1793
6035,"Lassen County, California",1551
6037,"Los Angeles County, California",4378
6039,"Madera County, California",1982
6041,"Marin County, California",8692
6043,"Mariposa County, California",1977
6045,"Mendocino County, California",2690
6047,"Merced County, California",1899
6049,"Modoc County, California",1283
6051,"Mono County, California",2657
6053,"Monterey County, California",3887
6055,"Napa County, California",4708
6057,"Nevada County, California",3502
6059,"Orange County, California",4921
6061,"Placer County, California",4619
6063,"Plumas County, California",1854
6065,"Riverside County, California",3494
6067,"Sacramento County, California",2999
6069,"San Benito County, California",4872
6071,"San Bernardino County, California",2750
6073,"San Diego County, California",4360
6075,"San Francisco County, California",7347
6077,"San Joaquin County, California",3020
6079,"San Luis Obispo County, California",4292
6081,"San Mateo County, California",7083
6083,"Santa Barbara County, California",4064
