id,abbr,state,value
1,AL,Alabama,0.065281263
2,AK,Alaska,0.101365866
4,AZ,Arizona,0.053186525
5,AR,Arkansas,0.070137894
6,CA,California,0.103013179
8,CO,Colorado,0.037371082
9,CT,Connecticut,0.094746831
10,DE,Delaware,0.08739192
11,DC,District of Columbia,0.108410967
12,FL,Florida,0.025709727
13,GA,Georgia,0.144928408
15,HI,Hawaii,0.127850025
16,ID,Idaho,0.073159872
17,IL,Illinois,0.072618139
18,IN,Indiana,0.061589748
19,IA,Iowa,0.09145327
20,KS,Kansas,0.067852673
21,KY,Kentucky,0.118662351
22,LA,Louisiana,0.10414836
23,ME,Maine,0.102475598
24,MD,Maryland,0.060223364
25,MA,Massachusetts,0.116342144
26,MI,Michigan,0.151258292
27,MN,Minnesota,0.117839628
28,MS,Mississippi,0.058323965
29,MO,Missouri,0.064696971
30,MT,Montana,0.10683332
31,NE,Nebraska,0.061964646
32,NV,Nevada,0.13400952
33,NH,New Hampshire,0.112539112
34,NJ,New Jersey,0.107719624
35,NM,New Mexico,0.076141615
36,NY,New York,0.111078645
37,NC,North Carolina,0.075011892
38,ND,North Dakota,0.083066745
39,OH,Ohio,0.115228851
40,OK,Oklahoma,0.05725429
41,OR,Oregon,0.083421517
42,PA,Pennsylvania,0.130439576
44,RI,Rhode Island,0.152068575
45,SC,South Carolina,0.066338717
46,SD,South Dakota,0.032989338
47,TN,Tennessee,0.069070751
48,TX,Texas,0.048646609
49,UT,Utah,0.047242404
50,VT,Vermont,0.112748312
51,VA,Virginia,0.063494728
53,WA,Washington,0.124138697
54,WV,West Virginia,0.068875176
55,WI,Wisconsin,0.101015124
56,WY,Wyoming,0.046295887
