fips,name,tax
5123,"St. Francis County, Arkansas",383
5125,"Saline County, Arkansas",970
5127,"Scott County, Arkansas",365
5129,"Searcy County, Arkansas",452
5131,"Sebastian County, Arkansas",721
5133,"Sevier County, Arkansas",341
5135,"Sharp County, Arkansas",439
5137,"Stone County, Arkansas",374
5139,"Union County, Arkansas",456
5141,"Van Buren County, Arkansas",448
5143,"Washington County, Arkansas",1056
5145,"White County, Arkansas",523
5147,"Woodruff County, Arkansas",343
5149,"Yell County, Arkansas",521
6001,"Alameda County, California",4411
6003,"Alpine County, California",2274
6005,"Amador County, California",2059
6007,"Butte County, California",1684
6009,"Calaveras County, California",2146
6011,"Colusa County, California",1431
6013,"Contra Costa County, California",3936
6015,"Del Norte County, California",1380
6017,"El Dorado County, California",2913
6019,"Fresno County, California",1734
6021,"Glenn County, California",1570
6023,"Humboldt County, California",1784
6025,"Imperial County, California",1365
6027,"Inyo County, California",1542
6029,"Kern County, California",1793
6031,"Kings County, California",1408
6033,"Lake County, California",1518
6035,"Lassen County, California",1406
6037,"Los Angeles County, California",3372
6039,"Madera County, California",1603
6041,"Marin County, California",6274
6043,"Mariposa County, California",1686
6045,"Mendocino County, California",2137
6047,"Merced County, California",1434
6049,"Modoc County, California",1103
6051,"Mono County, California",2284
6053,"Monterey County, California",2800
6055,"Napa County, California",3563
6057,"Nevada County, California",2856
6059,"Orange County, California",3807
6061,"Placer County, California",3525
6063,"Plumas County, California",1616
6065,"Riverside County, California",2606
6067,"Sacramento County, California",2245
6069,"San Benito County, California",3257
6071,"San Bernardino County, California",2073
6073,"San Diego County, California",3226
6075,"San Francisco County, California",5226
6077,"San Joaquin County, California",2173
6079,"San Luis Obispo County, California",3159
6081,"San Mateo County, California",5163
6083,"Santa Barbara County, California",3116
6085,"Santa Clara County, California",5275
6087,"Santa Cruz County, California",3881
6089,"Shasta County, California",1656
6091,"Sierra County, California",1393
6093,"Siskiyou County, California",1384
6095,"Solano County, California",2475
6097,"Sonoma County, California",3282
6099,"Stanislaus County, California",1753
6101,"Sutter County, California",1928
6103,"Tehama County, California",1312
6105,"Trinity County, California",1466
6107,"Tulare County, California",1370
6109,"Tuolumne County, California",1755
6111,"Ventura County, California",3565
6113,"Yolo County, California",2942
6115,"Yuba County, California",1639
8001,"Adams County, Colorado",1613
8003,"Alamosa County, Colorado",854
8005,"Arapahoe County, Colorado",1659
8007,"Archuleta County, Colorado",1265
8009,"Baca County, Colorado",408
8011,"Bent County, Colorado",492
8013,"Boulder County, Colorado",2294
8014,"Broomfield County, Colorado",2186
8015,"Chaffee County, Colorado",952
8017,"Cheyenne County, Colorado",446
8019,"Clear Creek County, Colorado",1472
8021,"Conejos County, Colorado",567
8023,"Costilla County, Colorado",428
8025,"Crowley County, Colorado",454
8027,"Custer County, Colorado",915
8029,"Delta County, Colorado",823
8031,"Denver County, Colorado",1443
8033,"Dolores County, Colorado",552
8035,"Douglas County, Colorado",2633
8037,"Eagle County, Colorado",2277
8039,"Elbert County, Colorado",1905
8041,"El Paso County, Colorado",1124
